Number,      cntr_01,       dist_x,       pang_x,        ra_01,       dec_01,          designation,ra,dec,    sigra,   sigdec,  sigradec,  w1mpro, w1sigmpro,    w1snr,   w1rchi2,  w2mpro, w2sigmpro,    w2snr,   w2rchi2,  w3mpro, w3sigmpro,    w3snr,   w3rchi2,  w4mpro, w4sigmpro,    w4snr,   w4rchi2,   nb,   na,  w1sat,  w2sat,  w3sat,  w4sat,     pmra,  sigpmra,    pmdec, sigpmdec, cc_flags, ext_flg, var_flg, ph_qual, moon_lev,   w1nm,    w1m,   w2nm,    w2m,   w3nm,    w3m,   w4nm,    w4m
1,6.079764,-166.829362,53.232687,-9,J033255.75,-90005.9,53.2322974,-9.0016444,0.4545,0.4781,-0.1379,17.338,0.148,7.3,9.86E-01,17.332,null,-1.5,8.73E-01,12.568,null,0.1,1.14E+00,8.631,null,0.9,9.90E-01,1,0,0.002,0,0,0,5,1913,-358,2016,0,0,nnnn,BUUU,0,5,25,0,25,0,12,0,12
2,2.608555,10.869015,311.28971,-31,J204509.56,-305957.4,311.2898694,-30.9992884,0.3523,0.3689,-0.0957,16.889,0.117,9.3,9.96E-01,16.551,null,1.6,9.69E-01,12.35,null,0.4,8.87E-01,8.885,null,-0.1,9.99E-01,1,0,0,0,0,0,1021,1443,-662,1534,0,0,nnnn,BUUU,0,5,23,1,23,0,11,0,11
5,8.614645,-77.804007,36.871893,30,J022728.60,300001.8,36.8691922,30.0005055,0.154,0.1583,-0.0437,16.065,0.054,20.2,9.33E-01,16.728,0.344,3.2,9.70E-01,12.615,null,-1.3,9.85E-01,9.088,null,-1.4,9.26E-01,1,0,0.001,0,0,0,358,317,24,331,0,0,1nnn,ABUU,0,27,37,1,37,0,13,0,13
6,4.97429,40.804826,69.400551,-2,J043736.34,-15956.2,69.4014545,-1.9989541,0.3961,0.4256,-0.0828,17.561,0.168,6.5,9.08E-01,16.131,0.181,6,7.91E-01,12.762,null,-1.7,8.72E-01,9.186,null,-1.6,9.73E-01,1,0,0,0,0,0,1504,1868,1613,2027,0,0,nnnn,BBUU,11,2,32,1,32,0,16,0,16
6,7.267237,-54.264414,69.400551,-2,J043735.73,-15955.7,69.3989114,-1.998821,0.3887,0.4221,-0.1015,17.276,0.13,8.3,9.59E-01,16.645,null,1.7,7.46E-01,12.679,null,-0.9,8.32E-01,9.178,null,-1.5,9.50E-01,1,0,0,0,0,0,1531,1703,2325,1829,0,0,nnnn,BUUU,11,6,32,0,32,0,16,0,16
9,9.79834,-171.898854,86.73892,-14,J054657.24,-140009.7,86.7385247,-14.0026946,0.0542,0.0557,0.0045,14.293,0.029,37.1,4.05E+00,13.405,0.029,37,1.88E+00,10.406,0.062,17.6,1.38E+00,8.077,0.192,5.6,1.20E+00,1,0,0.001,0,0,0.006,-491,131,-76,140,0,1,000n,AAAB,0,30,30,30,30,15,15,3,15
17,6.481641,108.49102,18.796339,-45,J011511.70,-450002,18.7987538,-45.000571,0.0501,0.0481,-0.0015,13.569,0.025,44.2,1.08E+00,13.578,0.031,35.5,9.06E-01,12.777,null,-0.2,9.36E-01,9.108,null,-1.2,1.05E+00,1,0,0,0,0,0,-148,87,-76,85,0,0,00nn,AAUU,0,31,31,31,31,0,13,0,13
19,9.145719,-141.084768,32.385946,34,J020932.16,335952.8,32.3840211,33.9980233,0.2205,0.2259,-0.0692,16.682,0.075,14.5,1.08E+00,16.594,0.25,4.3,9.22E-01,12.911,null,-0.6,1.02E+00,9.387,null,-1.8,1.06E+00,1,0,0,0,0,0,222,553,-382,570,0,0,nnnn,ABUU,2222,13,36,1,36,0,21,0,21
26,2.547004,-15.307938,64.006607,-51,J041601.51,-505957.5,64.0063102,-50.9993176,0.2793,0.281,-0.085,17.634,0.092,11.8,9.44E-01,17.927,0.431,2.5,9.07E-01,13.614,null,-1.9,9.60E-01,9.84,null,-2.2,9.63E-01,1,0,0.001,0,0,0,0,766,0,769,00P0,0,nnnn,ACUU,0,8,106,0,105,0,70,0,70
33,6.032343,31.377624,153.68398,-42,J101444.43,-415954.8,153.685154,-41.9985694,0.5989,0.6469,0.139,17.764,0.2,5.4,1.03E+00,17.49,null,-0.7,9.45E-01,12.564,null,-1.4,9.78E-01,9.252,null,0,8.92E-01,1,0,0,0,0,0,-857,2587,-214,2791,hHH0,0,nnnn,BUUU,0,2,31,0,31,0,14,0,14
38,4.41561,160.966704,213.91118,-45,J141538.81,-450004.1,213.9117457,-45.0011595,0.0403,0.0417,-0.0117,4.851,0.151,7.2,9.04E-02,4.648,0.05,21.6,4.15E-01,4.895,0.014,77.9,1.74E+00,4.839,0.026,42.4,8.29E-01,1,0,0.215,0.196,0,0,32,39,-346,38,0,0,311,BAAA,22,37,37,37,37,35,35,35,35
43,7.305829,-154.186565,258.75796,24,J171501.67,235953.4,258.7569927,23.9981731,0.3875,0.4272,-0.0529,17.396,0.135,8.1,9.37E-01,17.019,0.366,3,9.61E-01,12.546,null,0.1,8.42E-01,9.084,null,-0.9,1.00E+00,1,0,0,0,0,0,-1512,2009,3414,2217,0,0,nnnn,BCUU,11,4,31,0,31,0,13,0,13
46,8.579408,-75.252189,288.04732,57,J191210.34,570002.1,288.0430884,57.0006066,0.2877,0.2844,-0.0912,17.581,0.096,11.3,1.10E+00,18.098,null,-3.9,9.64E-01,13.405,null,-0.4,1.01E+00,9.183,null,1.3,8.86E-01,1,0,0.002,0,0,0.003,432,1276,707,1274,hh00,0,nnnn,AUUU,0,9,99,0,99,0,52,0,52
48,3.833061,17.934734,292.42649,51,J192942.48,510003.6,292.427011,51.001013,0.0732,0.062,0.0065,14.306,0.03,35.9,1.55E+00,14.43,0.044,24.9,9.85E-01,13.17,null,0.1,1.02E+00,9,null,0.8,9.73E-01,2,1,0,0,0,0,null,null,null,null,dh00,0,nnnn,AAUU,0,69,69,69,69,0,37,0,37
49,1.897588,-98.345704,300.14814,-72,J200035.14,-720000.2,300.1464523,-72.0000765,0.0627,0.0636,-0.0082,14.437,0.028,38.1,1.16E+00,14.294,0.044,24.7,9.47E-01,12.186,null,1.4,9.39E-01,9.001,null,0,9.48E-01,1,0,0,0,0,0,-193,135,-11,147,0,0,01nn,AAUU,11,31,31,31,31,0,10,0,11
52,9.527992,21.7354,338.67348,-20,J223441.88,-195951.1,338.674523,-19.9975415,0.5532,0.5792,-0.1626,17.488,0.189,5.8,9.44E-01,17.042,0.489,2.2,9.54E-01,12.253,null,0.4,7.57E-01,8.997,null,-0.3,8.18E-01,1,0,0,0,0,0,-130,2852,-1515,2980,0,0,nnnn,BCUU,0,1,22,0,22,0,12,0,12
54,9.400763,159.730744,347.42063,-67,J230941.50,-670008.8,347.4229455,-67.0024496,0.3793,0.3689,-0.1124,17.406,0.121,9,8.56E-01,17.192,null,1.2,7.59E-01,12.906,null,0,9.07E-01,9.037,null,0.3,9.93E-01,1,0,0,0,0,0,1010,1739,679,1697,0,0,nnnn,BUUU,11,4,39,1,39,0,18,0,18
57,8.124403,169.798425,357.23144,-28,J234855.65,-280007.9,357.2318927,-28.0022211,0.1265,0.131,-0.0378,15.898,0.055,19.9,1.06E+00,14.791,0.066,16.5,1.03E+00,11.616,0.213,5.1,9.57E-01,8.586,null,1,9.20E-01,1,0,0.002,0,0,0,-95,485,-288,505,0,0,00nn,AABU,11,23,25,18,25,1,14,0,14
58,6.664082,147.40003,278.65268,40,J183436.95,395954.3,278.6539819,39.9984405,0.0532,0.0537,-0.0092,14.779,0.027,40.1,1.13E+00,13.991,0.031,35.4,1.00E+00,11.328,0.11,9.9,9.32E-01,8.931,0.331,3.3,1.09E+00,1,0,0.002,0,0,0,19,233,-344,196,0,0,00nn,AABB,0,53,53,53,53,9,27,0,27
58,9.229603,-108.815085,278.65268,40,J183435.88,395957,278.6495121,39.9991731,0.1535,0.1667,-0.0425,16.657,0.057,19.2,1.02E+00,16.27,0.123,8.8,9.60E-01,12.472,null,1.3,9.99E-01,8.78,null,1.3,1.01E+00,1,0,0.001,0,0,0,-1309,625,1670,682,0,0,0nnn,ABUU,0,28,53,2,53,0,26,1,27
59,8.008384,-93.843611,342.01862,-24,J224803.88,-240000.5,342.0161904,-24.0001491,0.2356,0.2393,-0.0728,16.479,0.08,13.5,9.69E-01,16.527,0.276,3.9,9.48E-01,11.747,null,1.9,9.33E-01,8.519,null,1.2,1.29E+00,1,0,0,0,0,0,863,949,591,969,0,0,1nnn,ABUU,0,12,25,2,24,0,13,0,13
62,6.568742,115.721973,71.901214,-16,J044736.70,-160002.8,71.9029241,-16.0007919,0.5778,0.6152,-0.1643,17.835,0.194,5.6,9.37E-01,17.044,null,1.3,8.67E-01,12.739,null,0.4,1.01E+00,9.198,null,-0.6,9.30E-01,1,0,0,0,0,0,2009,3319,-354,3542,0,0,nnnn,BUUU,11,2,40,1,41,0,20,0,20
65,4.895114,159.160994,349.24035,-62,J231657.93,-620004.5,349.2413804,-62.0012708,0.0485,0.049,-0.0141,4.387,0.291,3.7,3.04E-02,4.01,0.186,5.8,4.17E-01,4.412,0.015,73.9,1.31E+00,4.259,0.025,42.6,8.12E-01,1,0,0.21,0.204,0,0,-179,50,-67,51,0,0,11,BBAA,0,33,33,32,33,17,17,17,17
69,6.979504,29.894027,188.01761,-16,J123204.46,-155953.9,188.0186152,-15.9983192,0.1682,0.1845,0.0307,16.157,0.062,17.6,9.64E-01,15.96,0.177,6.1,8.56E-01,11.983,null,1.1,8.19E-01,8.506,null,1.5,9.80E-01,1,0,0,0,0,0.003,248,484,-121,543,0,0,0nnn,ABUU,1222,20,25,0,22,0,12,0,13
74,2.567509,-112.959142,48.193488,-1,J031246.27,-10001,48.1928312,-1.0002782,0.3622,0.3863,-0.1145,17.162,0.124,8.8,8.89E-01,17.454,null,-2,9.37E-01,12.33,null,0.3,9.51E-01,8.8,null,-2.2,9.17E-01,1,0,0,0,0,0,-223,910,622,967,0,0,nnnn,BUUU,0,8,37,0,37,0,10,0,10
76,3.891242,-33.341206,56.038219,-38,J034408.99,-375956.7,56.0374651,-37.999097,0.2891,0.297,-0.0832,17.458,0.103,10.5,1.00E+00,16.735,0.194,5.6,8.51E-01,12.976,null,0.8,9.27E-01,9.759,null,0,1.00E+00,1,0,0,0,0,0,559,810,404,835,0,0,nnnn,ABUU,11,4,64,1,64,0,45,0,45
78,2.543671,-90.235248,89.10122,-14,J055624.11,-140000,89.1004918,-14.0000029,0.4425,0.4453,0.2574,16.631,0.185,5.9,1.01E+00,16.463,0.322,3.4,9.46E-01,10.914,0.167,6.5,1.12E+00,9.24,null,-0.3,1.03E+00,1,0,0.001,0,0,0,1204,2202,398,2159,00O0,0,nnnn,BBBU,0,3,30,0,31,1,15,0,15
78,4.466449,8.912644,89.10122,-14,J055624.34,-135955.5,89.1014181,-13.9987743,0.0534,0.0528,-0.0098,13.755,0.025,42.7,1.18E+00,13.773,0.034,31.9,8.57E-01,11.444,0.161,6.7,1.11E+00,9.095,null,0.1,8.83E-01,1,0,0,0,0,0,51,98,-21,106,00O0,0,00nn,AABU,0,31,31,31,31,3,15,0,15
78,6.465369,118.971493,89.10122,-14,J055624.68,-140003.1,89.1028393,-14.0008699,0.2946,0.3247,-0.1038,16.889,0.104,10.5,9.30E-01,17.401,null,-0.3,8.59E-01,11.438,0.192,5.6,9.32E-01,8.397,null,1.9,9.10E-01,1,0,0,0,0,0,-2711,1441,4688,1592,00O0,0,nnnn,AUBU,0,9,31,0,31,2,15,0,15
80,1.012881,87.738924,103.82778,25,J065518.74,250000,103.8280902,25.0000111,0.1496,0.1632,-0.0261,15.863,0.055,19.7,1.26E+00,15.822,0.155,7,1.01E+00,12.472,null,0.2,8.41E-01,8.843,null,-1,9.22E-01,1,0,0.001,0,0,0,-591,498,540,558,0,0,1nnn,ABUU,1111,23,23,2,23,0,12,0,12
80,9.299784,-170.793976,103.82778,25,J065518.55,245950.8,103.827324,24.99745,0.1314,0.1427,-0.0198,15.633,0.051,21.5,1.18E+00,15.538,0.134,8.1,1.11E+00,11.87,null,1.8,9.68E-01,8.877,null,0.3,1.04E+00,1,0,0.001,0,0,0,136,458,1362,515,0,0,0nnn,ABUU,1111,23,23,4,23,0,12,0,12
90,8.897186,18.35538,314.19721,-26,J205647.53,-255951.5,314.1980759,-25.9976543,0.4053,0.4379,-0.1131,17.241,0.148,7.3,9.81E-01,16.418,0.257,4.2,1.12E+00,12.303,null,0.3,9.62E-01,8.928,null,-0.9,1.01E+00,1,0,0,0,0,0,-2899,1703,-3691,1796,0,0,nnnn,BBUU,1111,4,25,2,25,0,13,0,13
98,5.317906,-168.847322,237.80804,35,J155113.84,345954.7,237.8076912,34.9985507,0.4842,0.5321,0.1051,17.831,0.183,5.9,9.37E-01,16.811,0.272,4,9.26E-01,12.998,null,0.5,1.03E+00,9.469,null,-1,9.56E-01,1,0,0,0,0,0,2021,2355,2376,2595,0,0,nnnn,BBUU,11,4,38,1,38,0,37,0,37
102,3.200395,124.912821,303.49935,0,J201400.01,-1.8,303.500079,-0.0005088,0.1789,0.1864,-0.0507,16.041,0.061,17.8,1.31E+00,17.011,0.506,2.1,9.38E-01,12.361,null,0.1,9.65E-01,8.925,null,-0.6,8.12E-01,1,0,0,0,0,0,-631,722,-276,735,hH00,0,0nnn,ACUU,1111,19,23,0,24,0,11,0,11
103,8.007284,-76.366042,229.86176,-7,J151926.29,-65958.1,229.8595822,-6.9994757,0.4196,0.4582,0.0178,17.133,0.147,7.4,8.84E-01,16.537,0.31,3.5,1.06E+00,12.576,null,-0.2,1.04E+00,8.985,null,-0.9,9.51E-01,1,0,0,0,0,0,-778,1792,-781,1951,0,0,nnnn,BBUU,1111,4,22,0,22,0,12,0,12
105,8.640186,132.06468,37.711073,55,J023051.40,545954.2,37.7141793,54.998392,0.0746,0.0874,-0.0439,13.835,0.037,29.4,2.19E+00,13.654,0.044,24.8,9.49E-01,12.469,null,-1.2,9.87E-01,9.081,null,-0.9,9.20E-01,1,0,0.023,0,0,0,-100,120,-94,134,0,0,00nn,AAUU,0,27,27,28,28,0,13,0,13
106,8.354559,21.475628,208.82857,-53,J135519.19,-525952.2,208.8299817,-52.9978404,0.088,0.0922,0.0083,14.74,0.035,31.2,1.12E+00,15.032,0.104,10.5,8.50E-01,13.014,null,-0.2,9.46E-01,9.678,null,-0.6,9.37E-01,1,0,0,0,0,0,-27,186,-191,201,0,0,00nn,AAUU,22,35,35,19,35,0,30,0,35
107,0.640607,-18.752774,223.78344,-41,J145508.00,-405959.3,223.7833642,-40.9998315,0.0716,0.0736,0.006,14.347,0.031,35,1.06E+00,14.364,0.054,20,8.93E-01,12.363,null,0.5,8.74E-01,8.826,null,0.7,1.10E+00,1,0,0.005,0,0,0,-109,148,-17,160,0,0,11nn,AAUU,100,26,26,25,25,0,13,0,13
109,6.088672,107.464477,38.232543,37,J023256.29,365958.1,38.2345631,36.9994924,0.433,0.4502,-0.1183,17.375,0.153,7.1,9.67E-01,16.709,0.29,3.7,9.83E-01,12.166,null,1,8.41E-01,8.951,null,-0.1,8.30E-01,1,0,0,0,0,0,1620,1472,147,1551,0,0,nnnn,BBUU,0,3,26,0,26,0,12,0,12
110,4.920864,10.686626,39.781509,-52,J023907.66,-515955.1,39.7819207,-51.9986568,0.4681,0.4588,-0.1559,17.762,0.158,6.8,9.89E-01,17.143,0.325,3.3,8.17E-01,12.969,null,-0.2,9.45E-01,9.32,null,0,8.87E-01,1,0,0.001,0,0,0,-952,2533,-161,2468,0,0,nnnn,BBUU,0,2,45,1,45,0,20,0,21
111,7.820468,-133.648611,184.47163,-55,J121752.53,-550005.3,184.4688894,-55.0014994,0.117,0.1235,0.0235,15.867,0.044,24.8,1.68E+00,15.622,0.098,11,1.01E+00,12.442,null,1.2,9.42E-01,8.863,null,1.4,1.02E+00,1,0,0,0,0,0,611,241,548,256,dd00,0,0nnn,AAUU,11,39,46,7,46,0,27,2,27
114,8.989178,35.471226,199.83141,-59,J131920.21,-585952.6,199.8342232,-58.9979664,0.051,0.0505,-0.0088,12.581,0.026,42,1.38E+00,12.671,0.03,36.2,1.30E+00,12.834,0.407,2.7,9.73E-01,9.63,null,-1.2,8.41E-01,1,0,0,0,0,0,-95,56,73,58,0,0,00nn,AACU,11,40,40,40,40,2,40,0,40
118,7.917552,-113.623777,304.56579,-42,J201815.13,-420003.1,304.5630785,-42.0008813,0.3919,0.403,-0.1133,17.218,0.131,8.3,1.21E+00,16.92,0.389,2.8,9.69E-01,12.432,null,0.1,9.12E-01,8.439,null,1.1,8.36E-01,1,0,0,0,0,0,803,1965,-1666,1992,0,0,nnnn,BCUU,100,5,31,0,31,0,10,0,10
119,7.151748,114.738196,9.736267,-52,J003857.40,-520002.9,9.7391973,-52.0008313,0.0658,0.0639,-0.0094,14.565,0.028,38.8,9.73E-01,14.698,0.052,21,9.18E-01,12.398,null,0.5,8.65E-01,8.859,null,0.5,9.59E-01,1,0,0,0,0,0,2,156,-193,151,0,0,11nn,AAUU,11,33,33,31,33,0,15,0,15
123,6.931957,-179.300212,19.431274,-52,J011743.49,-520006.9,19.4312358,-52.0019254,0.1493,0.1471,-0.0457,16.141,0.052,20.7,9.42E-01,16.221,0.155,7,9.12E-01,12.862,null,-1.3,1.03E+00,8.914,null,-0.1,7.55E-01,1,0,0,0,0,0,277,543,-343,532,0,0,0nnn,ABUU,0,31,35,2,35,0,16,0,16
124,7.489019,63.83383,155.79113,61,J102310.79,610003.3,155.7949813,61.0009173,0.057,0.0595,-0.0057,14.205,0.027,40.5,1.19E+00,14.147,0.039,28.1,9.19E-01,12.56,null,0.2,9.66E-01,8.904,null,0.3,1.10E+00,1,0,0,0.002,0,0,-54,118,-9,129,0,0,00nn,AAUU,11,27,27,27,27,0,11,0,11
127,5.352508,-117.88474,200.57395,62,J132217.07,615957.4,200.5711508,61.9993046,0.3377,0.3407,0.107,17.604,0.108,10.1,1.03E+00,17.45,null,1.2,8.74E-01,12.608,null,1.3,9.54E-01,9.415,null,0.3,1.03E+00,1,0,0,0,0,0,-423,1597,958,1610,0,0,nnnn,AUUU,0,9,69,0,69,0,37,0,37
131,2.449664,150.974592,302.82006,37,J201116.91,365957.8,302.8204734,36.999405,0.0791,0.0785,-0.0069,13.954,0.036,30,7.13E+00,13.949,0.045,24,1.97E+00,11.976,null,0.7,7.13E-01,9.215,null,0.1,8.09E-01,1,0,0,0,0,0,132,132,-479,133,0,1,31nn,AAUU,0,44,44,45,45,2,22,0,23
